ds,y
9/2/2020,213
9/1/2020,171
8/31/2020,162
8/30/2020,48
8/29/2020,131
8/28/2020,179
8/27/2020,202
8/26/2020,244
8/25/2020,222
8/24/2020,174
8/23/2020,57
8/22/2020,160
8/21/2020,298
8/20/2020,333
8/19/2020,351
8/18/2020,314
8/17/2020,174
8/16/2020,63
8/15/2020,226
8/14/2020,344
8/13/2020,363
8/12/2020,443
8/11/2020,417
8/10/2020,196
8/9/2020,73
8/8/2020,260
8/7/2020,380
8/6/2020,378
8/5/2020,425
8/4/2020,333
8/3/2020,165
8/2/2020,38
8/1/2020,303
7/31/2020,258
7/30/2020,302
7/29/2020,301
7/28/2020,283
7/27/2020,71
7/26/2020,42
7/25/2020,138
7/24/2020,262
7/23/2020,220
7/22/2020,297
7/21/2020,226
7/20/2020,131
7/19/2020,110
7/18/2020,191
7/17/2020,284
7/16/2020,268
7/15/2020,287
7/14/2020,312
7/13/2020,170
7/12/2020,106
7/11/2020,308
7/10/2020,369
7/9/2020,334
7/8/2020,533
7/7/2020,278
7/6/2020,251
7/5/2020,315
7/4/2020,364
7/3/2020,694
7/2/2020,687
7/1/2020,685
6/30/2020,808
6/29/2020,726
6/28/2020,415
6/27/2020,755
6/26/2020,1204
6/25/2020,1276
6/24/2020,1696
6/23/2020,1309
6/22/2020,800
6/21/2020,321
6/20/2020,698
6/19/2020,1209
6/18/2020,1494
6/17/2020,1457
6/16/2020,1209
6/15/2020,685
6/14/2020,418
6/13/2020,1032
6/12/2020,1329
6/11/2020,1293
6/10/2020,1437
6/9/2020,937
6/8/2020,677
6/7/2020,462
6/6/2020,780
6/5/2020,1146
6/4/2020,1039
6/3/2020,1046
6/2/2020,900
6/1/2020,648
5/31/2020,265
5/30/2020,432
5/29/2020,773
5/28/2020,774
5/27/2020,800
5/26/2020,746
5/25/2020,490
5/24/2020,210
5/23/2020,403
5/22/2020,532
5/21/2020,610
5/20/2020,808
5/19/2020,666
5/18/2020,430
5/17/2020,259
5/16/2020,358
5/15/2020,688
5/14/2020,657
5/13/2020,698
5/12/2020,754
5/11/2020,455
5/10/2020,279
5/9/2020,509
5/8/2020,701
5/7/2020,785
5/6/2020,745
5/5/2020,657
5/4/2020,477
5/3/2020,261
5/2/2020,299
5/1/2020,532
4/30/2020,636
4/29/2020,799
4/28/2020,742
4/27/2020,563
4/26/2020,300
4/25/2020,473
4/24/2020,781
4/23/2020,758
4/22/2020,723
4/21/2020,707
4/20/2020,461
4/19/2020,388
4/18/2020,532
4/17/2020,689
4/16/2020,623
4/15/2020,604
4/14/2020,479
4/13/2020,437
4/12/2020,464
4/11/2020,395
4/10/2020,454
4/9/2020,645
4/8/2020,654
4/7/2020,739
4/6/2020,389
4/5/2020,340
4/4/2020,357
4/3/2020,602
4/2/2020,554
4/1/2020,486
3/31/2020,474
3/30/2020,416
3/29/2020,280
3/28/2020,300
3/27/2020,365
3/26/2020,286
3/25/2020,314
