date,cases,deaths
11/3/2021,5332,16
10/3/2021,5326,21
9/3/2021,5928,20
8/3/2021,1982,24
7/3/2021,1451,17
6/3/2021,3452,12
5/3/2021,4069,15
4/3/2021,4883,19
3/3/2021,4869,19
2/3/2021,6189,23
1/3/2021,2826,24
28/02/2021,1242,25
27/02/2021,3107,19
26/02/2021,4583,18
25/02/2021,4830,20
24/02/2021,4977,26
23/02/2021,5404,13
22/02/2021,2539,25
21/02/2021,1599,21
20/02/2021,2781,29
19/02/2021,4028,25
18/02/2021,4134,18
17/02/2021,4965,34
16/02/2021,4205,22
15/02/2021,1901,23
14/02/2021,1211,28
13/02/2021,2771,25
12/2/2021,3569,28
11/2/2021,3804,33
10/2/2021,4353,27
9/2/2021,4069,25
8/2/2021,1505,39
7/2/2021,1013,29
6/2/2021,2332,33
5/2/2021,3260,36
4/2/2021,3396,30
3/2/2021,3737,52
2/2/2021,4315,43
1/2/2021,1551,46
31/01/2021,1164,39
30/01/2021,2695,57
29/01/2021,4252,58
28/01/2021,2368,55
27/01/2021,4105,54
26/01/2021,4186,67
25/01/2021,1884,59
24/01/2021,1147,51
23/01/2021,2368,64
22/01/2021,3722,59
21/01/2021,4196,88
20/01/2021,4946,87
19/01/2021,4732,92
18/01/2021,2111,72
17/01/2021,1250,61
16/01/2021,2160,83
15/01/2021,4205,90
14/01/2021,4743,95
13/01/2021,6595,91
12/1/2021,5334,89
11/1/2021,4648,89
10/1/2021,2317,92
9/1/2021,4735,89
8/1/2021,5691,99
7/1/2021,7148,103
6/1/2021,5028,82
5/1/2021,7546,93
4/1/2021,6982,86
3/1/2021,2754,83
2/1/2021,2530,99
1/1/2021,2618,87
31/12/2020,6999,110
30/12/2020,10459,90
29/12/2020,8872,73
28/12/2020,7091,121
27/12/2020,3208,99
26/12/2020,2966,94
25/12/2020,2793,106
24/12/2020,5036,88
23/12/2020,11376,87
22/12/2020,6595,93
21/12/2020,5160,76
20/12/2020,3752,94
19/12/2020,5509,80
18/12/2020,7917,71
17/12/2020,9640,116
16/12/2020,8824,102
15/12/2020,7001,88
14/12/2020,3534,94
13/12/2020,3057,71
12/12/2020,6538,68
11/12/2020,7717,89
10/12/2020,6693,86
9/12/2020,8398,75
8/12/2020,7446,54
7/12/2020,3782,58
6/12/2020,1803,81
5/12/2020,4864,43
4/12/2020,7338,70
3/12/2020,6986,77
2/12/2020,6547,71
1/12/2020,5819,67
30/11/2020,3480,67
29/11/2020,2753,50
28/11/2020,3825,50
27/11/2020,6462,65
26/11/2020,6903,60
25/11/2020,6066,69
24/11/2020,5674,68
23/11/2020,3877,55
22/11/2020,2422,59
21/11/2020,4492,51
20/11/2020,5458,45
19/11/2020,7609,46
18/11/2020,4961,50
17/11/2020,4458,44
16/11/2020,2544,37
15/11/2020,1581,39
14/11/2020,3513,38
13/11/2020,6730,33
12/11/2020,5564,28
11/11/2020,5709,27
10/11/2020,4497,35
9/11/2020,3725,35
8/11/2020,2097,22
7/11/2020,4451,27
6/11/2020,4454,25
5/11/2020,4744,22
4/11/2020,4482,21
3/11/2020,3608,20
2/11/2020,1569,20
1/11/2020,1297,22
31/10/2020,2987,13
30/10/2020,4056,9
29/10/2020,3262,9
28/10/2020,3389,9
27/10/2020,2414,9
26/10/2020,1069,11
25/10/2020,514,8
24/10/2020,1477,8
23/10/2020,1867,7
22/10/2020,1666,9
21/10/2020,1571,3
20/10/2020,1289,4
19/10/2020,771,4
18/10/2020,321,1
17/10/2020,697,4
16/10/2020,1179,2
15/10/2020,902,3
14/10/2020,968,2
13/10/2020,916,1
12/10/2020,637,3
11/10/2020,161,2
10/10/2020,509,5
9/10/2020,783,5
8/10/2020,834,1
7/10/2020,831,3
6/10/2020,786,4
5/10/2020,374,2
4/10/2020,156,3
3/10/2020,461,3
2/10/2020,712,3
1/10/2020,633,1
30/09/2020,689,4
29/09/2020,613,2
28/09/2020,378,1
27/09/2020,167,1
26/09/2020,325,2
25/09/2020,630,4
24/09/2020,540,1
23/09/2020,553,0
22/09/2020,438,1
21/09/2020,266,2
20/09/2020,133,4
19/09/2020,279,1
18/09/2020,437,1
17/09/2020,389,1
16/09/2020,330,2
15/09/2020,292,1
14/09/2020,220,2
13/09/2020,106,2
12/9/2020,206,1
11/9/2020,291,4
10/9/2020,254,2
9/9/2020,314,2
8/9/2020,236,1
7/9/2020,185,1
6/9/2020,67,3
5/9/2020,171,0
4/9/2020,262,0
3/9/2020,286,2
2/9/2020,213,2
1/9/2020,171,3
31/08/2020,162,2
30/08/2020,48,3
29/08/2020,131,1
28/08/2020,179,1
27/08/2020,202,1
26/08/2020,244,2
25/08/2020,222,1
24/08/2020,174,1
23/08/2020,57,3
22/08/2020,160,1
21/08/2020,298,5
20/08/2020,333,2
19/08/2020,351,1
18/08/2020,314,4
17/08/2020,174,3
16/08/2020,63,0
15/08/2020,226,1
14/08/2020,344,1
13/08/2020,363,5
12/8/2020,443,3
11/8/2020,417,4
10/8/2020,196,2
9/8/2020,73,4
8/8/2020,260,1
7/8/2020,380,2
6/8/2020,378,4
5/8/2020,425,1
4/8/2020,333,2
3/8/2020,165,4
2/8/2020,38,3
1/8/2020,303,2
31/07/2020,258,2
30/07/2020,302,0
29/07/2020,301,1
28/07/2020,283,4
27/07/2020,71,6
26/07/2020,42,2
25/07/2020,138,1
24/07/2020,262,3
23/07/2020,220,5
22/07/2020,297,6
21/07/2020,226,7
20/07/2020,131,6
19/07/2020,110,7
18/07/2020,191,11
17/07/2020,284,7
16/07/2020,268,6
15/07/2020,287,6
14/07/2020,312,8
13/07/2020,170,12
12/7/2020,106,8
11/7/2020,308,10
10/7/2020,369,14
9/7/2020,334,15
8/7/2020,533,10
7/7/2020,278,12
